ANIO,DELEGACIONES,SERVICIOS CULTURALES OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS DEPORTIVOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS TURISTICOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS FUNERARIOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,TALLERES DE TERAPIA OCUPACIONAL OTORGADOS A PENSIONADOS,SOCIALES COMEDORES OTORGADOS A PENSIONADOS,FOMENTO DEPORTIVO OTORGADOS A PENSIONADOS,SERVICIOS EN TURISMO OTORGADOS A PENSIONADOS,SERVICIOS CULTURALES OTORGADOS A PENSIONADOS
2019,TAMAULIPAS,24855,26748,0,6,2336,0,1920,0,1905
2019,TLAXCALA,35401,25473,0,114,1328,0,3165,0,6599
2019,VERACRUZ,55111,48337,0,70,3376,0,4214,0,1477
2019,YUCATAN,64862,46989,0,97,10086,0,25968,0,11618
2019,ZACATECAS,123350,92540,0,439,32044,0,13730,0,10761
2019,DELEGACION NORTE,127697,48880,0,3751,2787,0,14430,0,3094
2019,DELEGACION SUR,119571,161933,0,9116,8594,0,11419,0,12443
2019,DELEGACION ORIENTE,25401,87897,0,30,9439,0,49834,0,9752
2019,DELEGACION PONIENTE,141741,114647,0,1692,15181,0,12065,0,18830
2019,OFICINAS CENTRALES,997716,0,0,0,0,0,0,0,2530
2019,CONVIVE CD. MEX.,0,0,0,0,0,56176,0,57013,19648
2019,ISSSTEHUIXTLA,0,0,91806,0,0,25685,0,28913,0
2020,AGUASCALIENTES,2997,6210,0,121,0,0,3082,0,1548
2020,BAJA CALIFORNIA. NORTE,2436,3324,0,135,417,0,342,0,417
2020,BAJA CALIFORNIA. SUR,256,29171,0,0,48,0,4240,0,251
2020,CAMPECHE,23409,35752,0,12,3286,0,1405,0,1924
2020,COAHUILA,12605,20194,0,6,1855,0,5007,0,1502
2020,COLIMA,0,24366,0,76,0,0,665,0,0
2020,CHIAPAS,11790,3194,0,19,198,0,2545,0,1465
2020,CHIHUAHUA,8471,9155,0,143,908,0,1168,0,1800
2020,DURANGO,7777,8124,0,38,1248,0,3730,0,961
2020,GUANAJUATO,347,5275,0,142,840,0,425,0,31
2020,GUERRERO ,3320,5334,0,8,120,0,420,0,0
2020,HIDALGO,27129,15133,0,152,627,0,615,0,2033
2020,JALISCO,1393,28950,0,151,272,0,1681,0,164
2020,MEXICO,17835,26203,0,6927,870,0,4580,0,2281
2020,MICHOACAN ,15319,7478,0,0,590,0,1722,0,420
2020,MORELOS,8048,5052,0,102,161,0,1137,0,333
2020,NAYARIT,4831,26895,0,245,1244,0,2240,0,172
2020,NUEVO LEON,4574,13057,0,1673,444,0,707,0,377
2020,OAXACA,31523,5186,0,19,0,0,376,0,13506
2020,PUEBLA,6925,12497,0,472,4198,0,1519,0,1330
2020,QUERETARO,1164,2825,0,0,369,0,590,0,951
2020,QUINTANA ROO,2703,7528,0,0,1830,0,1533,0,1225
2020,SAN LUIS POTOSI,9400,38034,0,223,4014,0,9386,0,2064
2020,SINALOA ,103,2271,0,0,374,0,57,0,189
2020,SONORA,1295,2139,0,0,0,0,1262,0,152
2020,TABASCO,705,3671,0,182,400,0,2363,0,800
2020,TAMAULIPAS,3899,7153,0,0,0,0,480,0,367
2020,TLAXCALA,10049,6948,0,362,908,0,2542,0,792
2020,VERACRUZ,7673,9776,0,124,336,0,876,0,218
2020,YUCATAN,10930,11393,0,127,764,0,3525,0,1154
2020,ZACATECAS,12471,24051,0,440,700,0,4024,0,930
2020,DELEGACION NORTE,16253,28827,0,3725,1457,0,6078,0,368
2020,DELEGACION SUR,11157,44236,0,8813,490,0,2259,0,1517
2020,DELEGACION ORIENTE,158,26737,0,20,815,0,14666,0,215
2020,DELEGACION PONIENTE,17236,25514,0,1905,951,0,2522,0,2471
2020,OFICINAS CENTRALES,148392,0,0,45,0,0,0,0,0
2020,CONVIVE CD. MEX.,0,0,0,0,0,0,0,0,0
2020,ISSSTEHUIXTLA,0,0,11320,0,0,0,0,0,0
2021,AGUASCALIENTES,43,386,0,16,1,0,40,0,0
2021,BAJA CALIFORNIA. NORTE,79,184,0,51,145,0,67,0,0
2021,BAJA CALIFORNIA. SUR,9,4,12,1,23,0,0,0,1
2021,CAMPECHE,13,143,5,0,902,0,1168,0,263
2021,CHIAPAS,34,551,0,12,1820,0,752,0,504
2021,CHIHUAHUA,97,1944,0,0,1200,0,877,0,26
2021,COAHUILA,254,302,0,74,301,0,138,0,107
2021,COLIMA,116,176,0,105,1778,0,626,0,4
2021,DURANGO,282,563,0,6,216,0,311,0,11
2021,MEXICO,396,298,47,42,517,0,400,0,192
2021,GUANAJUATO,139,521,19,51,605,0,60,0,81
2021,GUERRERO ,0,286,0,79,20,0,178,0,0
2021,HIDALGO,208,884,3,285,955,0,139,0,1
2021,JALISCO,245,389,0,3750,365,0,367,0,120
2021,MICHOACAN ,830,1794,0,58,755,0,1571,0,1
2021,MORELOS,603,668,0,108,1192,0,563,0,1
2021,NAYARIT,366,176,68,2,129,0,0,0,148
2021,NUEVO LEON,50,93,287,1409,171,0,174,0,22
2021,OAXACA,269,166,0,40,85,0,206,0,59
2021,PUEBLA,109,300,2,0,701,0,260,0,4
2021,QUERETARO,11,299,0,0,216,0,148,0,9
2021,QUINTANA ROO,110,193,157,69,541,0,164,0,157
2021,SAN LUIS POTOSI,145,509,5,227,195,0,193,0,1
2021,SINALOA ,40,354,8,0,941,0,499,0,428
2021,SONORA,0,0,0,0,0,0,0,0,0
2021,TABASCO,113,507,198,21,610,0,153,0,41
2021,TAMAULIPAS,19,4,0,2,0,0,0,0,0
2021,TLAXCALA,639,545,0,14,537,0,235,0,220
2021,VERACRUZ,469,445,63,143,263,0,314,0,25
2021,YUCATAN,211,187,34,160,1401,0,938,0,25
2021,ZACATECAS,90,508,4,37,741,0,83,0,280
2021,DELEGACION SUR,170,127,72,2489,0,0,0,0,0
2021,DELEGACION NORTE,1664,1814,0,4670,651,0,445,0,204
2021,DELEGACION PONIENTE,1363,2117,9,41,782,0,1821,0,22
2021,DELEGACION ORIENTE,162,685,8,1931,1060,0,403,0,2
2021,OFICINAS CENTRALES,7,913,0,0,0,0,1,0,0
2021,CONVIVE CD. MEX.,0,0,0,0,0,0,0,0,0
2021,ISSSTEHUIXTLA,0,0,16560,0,0,0,0,0,0
